restaurant_id,cuisine
res_e4eb640191f0ced0,North Indian
res_e4eb640191f0ced0,Mughlai
res_e4eb640191f0ced0,Chinese
res_2df4bd3831ac287b,Chinese
res_2df4bd3831ac287b,North Indian
res_2df4bd3831ac287b,Thai
res_f7290882ef039e69,Cafe
res_f7290882ef039e69,Mexican
res_f7290882ef039e69,Italian
res_a6ee7ca71d777d53,South Indian
res_a6ee7ca71d777d53,North Indian
res_972efddfd2d5f676,North Indian
res_972efddfd2d5f676,Rajasthani
res_cb00fdac8893cb82,North Indian
res_1de6fbbd8bd66244,North Indian
res_1de6fbbd8bd66244,South Indian
res_1de6fbbd8bd66244,Andhra
res_1de6fbbd8bd66244,Chinese
res_64d33a7ba8f4b348,Pizza
res_64d33a7ba8f4b348,Cafe
res_64d33a7ba8f4b348,Italian
res_4aeeeb1d4d4d76cc,Cafe
res_4aeeeb1d4d4d76cc,Italian
res_4aeeeb1d4d4d76cc,Continental
res_ce6774aee5057f1d,Cafe
res_ce6774aee5057f1d,Mexican
res_ce6774aee5057f1d,Italian
res_ce6774aee5057f1d,Momos
res_ce6774aee5057f1d,Beverages
res_ffdd5dfbfa57bdbd,Cafe
res_9d2f435f34a9729d,Cafe
res_9d2f435f34a9729d,Italian
res_9d2f435f34a9729d,Continental
res_22addb213c23d229,Cafe
res_22addb213c23d229,Chinese
res_22addb213c23d229,Continental
res_22addb213c23d229,Italian
res_4dc3ee5c55a20fdb,Cafe
res_4dc3ee5c55a20fdb,Continental
res_d77b93792f4e0ff8,Cafe
res_785bf46aff94b20b,Cafe
res_785bf46aff94b20b,Fast Food
res_785bf46aff94b20b,Continental
res_785bf46aff94b20b,Chinese
res_785bf46aff94b20b,Momos
res_f7e0017e80e3d010,Chinese
res_f7e0017e80e3d010,Cafe
res_f7e0017e80e3d010,Italian
res_75b7f913f450b2b7,Cafe
res_75b7f913f450b2b7,Italian
res_75b7f913f450b2b7,American
res_7966fa43bb88e561,Cafe
res_7966fa43bb88e561,Chinese
res_7966fa43bb88e561,Continental
res_7966fa43bb88e561,Italian
res_ce1ec8c9e852f539,Cafe
res_ce1ec8c9e852f539,French
res_ce1ec8c9e852f539,North Indian
res_3448603939596d3c,Cafe
res_3448603939596d3c,Pizza
res_3448603939596d3c,Fast Food
